file,res_x,res_y,clip_x,clip_y
Movie_Gothic_108.jpg,0.23451714,0.42285758,0.46229383,0.3356969
Movie_Gothic_109.jpg,0.6690358,0.7878824,0.30622175,0.53596395
Movie_Gothic_110.jpg,0.77286774,0.23421423,0.6358163,0.870301
Movie_Gothic_111.jpg,0.6226256,0.16992669,0.8163688,0.25712094
Movie_Gothic_112.jpg,0.42628998,0.6586221,0.7933018,0.5713411
Movie_Gothic_113.jpg,0.7428319,0.58619606,0.7727445,0.48184118
Movie_Gothic_114.jpg,0.77487,0.40372965,0.70429075,0.21453218
Movie_Gothic_115.jpg,0.2889859,0.64426726,0.6364864,0.6688015
Movie_Gothic_116.jpg,0.32063368,0.3461868,0.39398608,0.89528835
Movie_Gothic_117.jpg,0.6734455,0.0764052,0.5780196,0.0
Movie_Gothic_118.jpg,0.2403252,0.704715,0.65864944,0.6730541
Movie_Gothic_119.jpg,0.51644564,0.23978363,0.377407,0.10604023
Movie_Gothic_120.jpg,0.0,0.68327117,0.31869408,0.83755654
Movie_Gothic_121.jpg,0.24682795,0.15605186,0.72129107,0.41109094
Movie_Gothic_122.jpg,0.40578023,0.44488415,0.36913025,0.5294348
Movie_Gothic_123.jpg,0.38527563,0.34877402,0.18272178,0.27582923
Movie_Gothic_124.jpg,0.1994299,0.63906455,0.6569584,0.72662425
Movie_Gothic_125.jpg,0.3457271,0.24133787,0.5638408,0.6237763
Movie_Gothic_126.jpg,0.35373604,0.24894662,0.6779657,0.537342
Movie_Gothic_127.jpg,0.2552482,0.47098088,0.42020482,0.56304324
Movie_Gothic_128.jpg,0.38590685,0.0,0.41882026,0.2592109
Movie_Gothic_129.jpg,0.37010875,0.054274023,0.5010739,0.38973737
Movie_Gothic_130.jpg,0.5681786,0.6238577,0.7702793,0.72483397
Movie_Gothic_131.jpg,0.5171542,0.5751121,0.43185332,0.5069235
Movie_Gothic_132.jpg,0.407759,0.27404338,0.7761777,0.5675821
Movie_Gothic_133.jpg,0.584642,0.8012115,0.2569852,0.51617795
Movie_Gothic_134.jpg,0.7876322,0.6227557,0.8270734,0.37170935
Movie_Gothic_135.jpg,0.56032103,0.44172585,0.5057668,0.63386226
Movie_Gothic_136.jpg,0.64397734,0.9578771,0.67009157,0.33393922
Movie_Gothic_137.jpg,0.26347965,0.8107022,0.5552798,0.73050576
Movie_Gothic_138.jpg,0.94798523,0.5699991,0.24889635,0.56196666
Movie_Gothic_139.jpg,0.32707122,0.21460083,0.34620687,0.426493
